id,num_rooms,flat,district,house,floor_num,floors_num,square_total,square_living,square_kitchen,price
14299832,2,,,"Карла Маркса, 202",5,9,49.0,34.0,8.0,3700000
14297205,2,,,14,0,1,100.0,65.0,25.0,3600000
14295694,4,,,"ул. Тагира Кусимова, 1/2",1,2,69.0,50.0,6.0,5500000
14293337,2,хрущевка ,правобережный,"Им. газеты ""Правда"", 30/1",1,5,43.2,28.0,6.5,2649899
14293318,3,,орджоникидзевский,"проспект Сиреневый, 14/1",5,9,65.0,45.0,8.5,4200000
14289167,2,,ленинский,"Ломоносова, 34",1,4,60.0,40.0,9.0,4300000
14287810,2,,ленинский,"Николая Шишка, 12",1,5,44.0,29.0,7.0,2850000
14287807,2,,ленинский,"Ленина пр-т, 24",1,5,42.0,30.0,6.0,2200000
14284237,3,,,"Садовая, 7",1,2,59.0,35.0,8.0,3300000
14278505,2,,ленинский,"Московская, 35",1,3,59.0,33.0,9.0,2550000
14277302,2,,ленинский,"Уральская, 10/2",4,5,62.8,38.0,9.0,3699000
14276091,2,,,Ленина пр-т,5,5,42.9,26.0,5.9,4800000
14274674,2,,орджоникидзевский,"Карла Маркса, 220/1",2,10,56.5,35.0,9.0,4000000
14274647,1,,ленинский,"Октябрьская, 34",3,5,31.0,20.0,7.0,1950000
14274627,2,,ленинский,"Московская, 43",2,4,47.9,10.0,8.0,3990000
14200056,2,,орджоникидзевский,"Зеленый Лог, 69/1",2,3,55.7,29.5,12.7,3287000
14200055,2,,орджоникидзевский,"Зеленый Лог, 69/1",2,3,78.0,62.7,15.0,4446000
14200052,2,,орджоникидзевский,"Сочинская, 47/1",2,3,50.0,36.0,12.0,2590000
14185520,1,,,"Ленина пр-т, 213а",1,1,35.0,0.0,10.0,1850000
14115192,1,,,"ул. Горнолыжная, 26",2,2,16.0,14.0,2.0,1350000
13840385,1,,правобережный,"Ленина пр-т, 87а",5,16,26.0,14.0,7.0,3145000
14103532,2,,,"ул. Курортная, 33",1,5,47.3,0.0,10.0,3000000
14078819,1,,,"ул. Курортная, 3",2,5,22.5,15.0,5.0,1580000
14046477,3,,правобережный,"Западное шоссе, 95",1,2,67.2,45.0,12.0,5000000
13463306,3,нестандартная,ленинский,"Николая Шишка, 22",5,5,74.0,56.0,9.0,5500000
13422649,2,,,"Молодежная, 19А",1,5,41.0,22.2,7.2,930000
13273273,2,улучшенная,орджоникидзевский,"Сиреневый проезд, 10",3,9,50.0,30.0,9.0,3350000
13208365,3,улучшенная,орджоникидзевский,"Ворошилова, 35",7,9,65.0,43.0,9.0,4200000
9383236,4,нестандартная,орджоникидзевский (правый берег),"50 лет Магнитки, 66",7,13,86.0,55.0,9.0,7000000
